NXST_FLOW reply (xid=0x4): flags=[more]
 cookie=0x0, duration=7.561s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=12207,tp_dst=24269 actions=output:1
 cookie=0x0, duration=2.374s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=46131,tp_dst=11405 actions=output:1
 cookie=0x0, duration=7.540s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=13190,tp_dst=21631 actions=output:1
 cookie=0x0, duration=8.603s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=46518,tp_dst=16145 actions=output:1
 cookie=0x0, duration=6.106s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=33553,tp_dst=43492 actions=output:1
 cookie=0x0, duration=1.565s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=24135,tp_dst=21567 actions=output:1
 cookie=0x0, duration=3.451s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=26799,tp_dst=27660 actions=output:1
 cookie=0x0, duration=3.872s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=36986,tp_dst=8149 actions=output:1
 cookie=0x0, duration=8.286s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=39079,tp_dst=63100 actions=output:1
 cookie=0x0, duration=1.281s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=52143,tp_dst=19110 actions=output:1
 cookie=0x0, duration=6.849s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=54419,tp_dst=9559 actions=output:1
 cookie=0x0, duration=4.613s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=4, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=18614,tp_dst=18456 actions=output:1
 cookie=0x0, duration=7.315s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=37666,tp_dst=47963 actions=output:1
 cookie=0x0, duration=0.356s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=13454,tp_dst=35362 actions=output:1
 cookie=0x0, duration=3.328s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=28142,tp_dst=39117 actions=output:1
 cookie=0x0, duration=8.549s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=3207,tp_dst=16811 actions=output:1
 cookie=0x0, duration=7.135s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=46104,tp_dst=8853 actions=output:1
 cookie=0x0, duration=7.487s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=14930,tp_dst=48989 actions=output:1
 cookie=0x0, duration=4.608s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=4, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=61225,tp_dst=6634 actions=output:1
 cookie=0x0, duration=6.695s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=47786,tp_dst=14919 actions=output:1
 cookie=0x0, duration=8.232s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=32282,tp_dst=8157 actions=output:1
 cookie=0x0, duration=8.023s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=61272,tp_dst=39170 actions=output:1
 cookie=0x0, duration=2.637s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=38516,tp_dst=23469 actions=output:1
 cookie=0x0, duration=6.560s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=51650,tp_dst=1107 actions=output:1
 cookie=0x0, duration=8.656s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=22042,tp_dst=58334 actions=output:1
 cookie=0x0, duration=2.293s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=10925,tp_dst=52925 actions=output:1
 cookie=0x0, duration=2.451s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=65437,tp_dst=15540 actions=output:1
 cookie=0x0, duration=1.092s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=46703,tp_dst=46631 actions=output:1
 cookie=0x0, duration=3.074s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=44177,tp_dst=50086 actions=output:1
 cookie=0x0, duration=1.823s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=48548,tp_dst=61227 actions=output:1
 cookie=0x0, duration=7.135s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=43564,tp_dst=57493 actions=output:1
 cookie=0x0, duration=7.647s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=1240,tp_dst=62908 actions=output:1
 cookie=0x0, duration=5.841s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=45479,tp_dst=38585 actions=output:1
 cookie=0x0, duration=2.048s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=10411,tp_dst=18696 actions=output:1
 cookie=0x0, duration=2.837s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=29326,tp_dst=49170 actions=output:1
 cookie=0x0, duration=2.413s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=37263,tp_dst=50536 actions=output:1
 cookie=0x0, duration=2.875s, table=0, n_packets=1, n_bytes=1066, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,udp,in_port=LOCAL,vlan_tci=0x0000,dl_src=00:b6:78:9f:7b:d2,dl_dst=00:b5:73:9f:7b:d1,nw_src=10.1.1.3,nw_dst=10.1.2.2,nw_tos=224,tp_src=25595,tp_dst=64231 actions=output:1
